YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M,WD10M
2019,1,4,2,10.07,100.0,0.01,1.76,112.7
2019,1,4,3,9.89,100.0,0.01,1.78,114.65
2019,1,4,4,9.83,100.0,0.01,1.9,113.72
2019,1,4,5,9.8,100.0,0.01,2.12,112.98
2019,1,4,6,10.55,98.5,0.01,2.62,113.51
2019,1,4,7,12.86,90.25,0.01,4.12,111.12
2019,1,4,8,14.77,80.75,0.01,5.69,107.42
2019,1,4,9,16.62,70.38,0.01,7.24,104.82
2019,1,4,10,17.91,63.69,0.01,7.93,105.08
2019,1,4,11,18.59,60.69,0.01,7.99,106.88
2019,1,4,12,19.01,59.38,0.01,7.85,108.81
2019,1,4,13,19.16,58.81,0.01,7.54,110.56
2019,1,4,14,18.84,59.44,0.01,7.08,111.9
2019,1,4,15,18.07,62.0,0.02,6.46,112.78
2019,1,4,16,16.9,66.31,0.02,5.53,114.36
2019,1,4,17,15.24,77.81,0.01,4.04,118.89
2019,1,4,18,13.76,89.69,0.01,2.48,126.15
2019,1,4,19,13.1,93.62,0.01,2.4,129.18
2019,1,4,20,12.62,96.0,0.01,2.29,129.88
2019,1,4,21,12.26,97.19,0.01,2.12,127.97
2019,1,4,22,11.94,97.81,0.01,2.25,126.23
2019,1,4,23,11.65,98.0,0.01,2.11,124.75
2019,1,5,0,11.35,98.0,0.01,1.84,126.72
2019,1,5,1,11.12,97.69,0.0,1.6,132.03
2019,1,5,2,10.9,97.31,0.0,1.54,137.88
2019,1,5,3,10.64,97.19,0.0,1.68,143.72
2019,1,5,4,10.52,96.69,0.0,1.95,144.97
2019,1,5,5,10.66,95.44,0.0,2.64,140.76
2019,1,5,6,11.22,95.12,0.0,3.25,135.68
2019,1,5,7,13.43,86.12,0.0,4.16,128.14
2019,1,5,8,15.37,78.31,0.0,5.53,116.71
2019,1,5,9,16.84,69.69,0.0,6.23,108.73
2019,1,5,10,17.74,63.94,0.0,6.22,104.18
2019,1,5,11,18.23,61.19,0.0,6.04,103.32
2019,1,5,12,18.4,59.88,0.0,5.93,105.43
2019,1,5,13,18.28,59.5,0.0,5.81,107.53
2019,1,5,14,17.76,60.62,0.01,5.52,109.41
2019,1,5,15,17.07,63.25,0.01,5.18,112.43
2019,1,5,16,16.05,68.38,0.02,4.66,115.53
2019,1,5,17,14.76,78.94,0.02,3.72,120.92
2019,1,5,18,13.23,91.5,0.02,2.58,127.25
2019,1,5,19,12.54,94.69,0.02,2.31,132.39
2019,1,5,20,12.06,96.06,0.01,2.25,134.86
2019,1,5,21,11.66,97.0,0.01,1.87,138.9
2019,1,5,22,11.31,97.62,0.01,1.63,141.21
2019,1,5,23,11.12,97.25,0.01,1.48,142.71
2019,1,6,0,10.9,97.0,0.01,1.34,144.0
2019,1,6,1,10.68,96.69,0.02,1.22,149.16
2019,1,6,2,10.53,95.75,0.02,1.15,153.43
2019,1,6,3,10.45,94.56,0.02,1.17,155.49
2019,1,6,4,10.42,95.0,0.02,1.3,156.67
2019,1,6,5,10.33,95.94,0.02,1.57,159.94
2019,1,6,6,10.8,95.5,0.02,1.68,160.72
2019,1,6,7,12.86,87.69,0.1,2.51,152.16
2019,1,6,8,14.44,80.62,0.11,2.82,148.47
2019,1,6,9,15.86,75.19,0.13,2.84,150.9
2019,1,6,10,17.18,70.69,0.15,2.74,148.9
2019,1,6,11,17.53,69.75,0.19,2.52,143.84
2019,1,6,12,17.33,72.25,0.23,2.23,137.42
2019,1,6,13,17.01,75.31,0.29,1.94,126.32
2019,1,6,14,16.59,78.38,0.36,1.83,111.07
2019,1,6,15,16.15,81.0,0.44,1.86,93.62
2019,1,6,16,15.33,85.62,0.54,1.74,75.15
2019,1,6,17,14.24,93.06,0.62,1.26,53.06
2019,1,6,18,13.31,98.44,0.64,0.77,54.06
2019,1,6,19,12.96,99.31,0.6,0.82,63.43
2019,1,6,20,12.55,100.0,0.56,0.56,88.41
2019,1,6,21,12.09,100.0,0.63,0.47,124.22
2019,1,6,22,12.09,98.94,0.76,0.34,107.2
2019,1,6,23,12.08,97.19,0.78,0.18,94.97
2019,1,7,0,12.09,94.81,0.8,0.09,355.24
2019,1,7,1,11.89,92.94,0.85,0.28,347.12
2019,1,7,2,11.85,92.5,0.88,0.3,338.75
2019,1,7,3,11.88,91.62,0.83,0.21,351.25
2019,1,7,4,11.85,91.31,0.68,0.25,352.87
2019,1,7,5,11.73,91.75,0.56,0.36,351.35
2019,1,7,6,11.71,93.44,0.5,0.4,3.37
2019,1,7,7,12.87,91.44,0.91,0.54,16.86
2019,1,7,8,14.41,87.06,0.88,0.64,33.11
2019,1,7,9,16.05,78.12,0.97,0.92,45.34
2019,1,7,10,17.37,71.56,1.17,1.12,39.35
2019,1,7,11,17.66,70.44,1.23,1.21,21.94
2019,1,7,12,17.65,71.25,1.25,1.56,3.45
2019,1,7,13,17.38,72.62,1.31,1.97,355.91
2019,1,7,14,16.49,77.0,1.47,2.19,350.77
2019,1,7,15,15.73,82.12,1.7,2.21,344.44
2019,1,7,16,15.02,87.31,1.75,2.37,335.29
2019,1,7,17,14.19,93.38,1.42,2.54,325.67
2019,1,7,18,13.48,98.19,0.94,2.05,320.56
2019,1,7,19,13.23,98.88,0.46,2.27,322.54
2019,1,7,20,13.08,98.81,0.19,2.67,324.64
2019,1,7,21,12.8,98.25,0.11,2.77,326.62
2019,1,7,22,11.92,97.38,0.09,2.59,325.69
2019,1,7,23,11.06,96.44,0.08,2.23,324.42
2019,1,8,0,10.45,96.06,0.06,1.87,323.32
2019,1,8,1,10.01,95.94,0.05,1.82,322.34
2019,1,8,2,9.67,96.62,0.03,1.8,322.23
2019,1,8,3,9.58,95.75,0.03,1.8,320.29
2019,1,8,4,9.61,95.38,0.02,1.82,315.87
2019,1,8,5,9.6,94.94,0.01,1.83,312.22
2019,1,8,6,9.73,94.12,0.01,1.66,312.33
2019,1,8,7,10.71,88.19,0.01,2.08,312.87
2019,1,8,8,12.36,77.12,0.01,2.4,309.97
2019,1,8,9,13.99,68.56,0.01,2.58,303.79
2019,1,8,10,15.61,61.06,0.02,2.66,300.56
2019,1,8,11,16.8,57.38,0.02,2.86,303.43
2019,1,8,12,17.46,56.88,0.02,3.1,306.18
2019,1,8,13,17.47,58.56,0.04,3.19,307.94
2019,1,8,14,16.83,62.75,0.13,3.04,309.26
2019,1,8,15,15.72,68.75,0.2,2.72,310.46
2019,1,8,16,14.56,75.38,0.23,2.48,309.76
2019,1,8,17,13.33,85.12,0.27,2.05,309.89
2019,1,8,18,12.31,93.81,0.28,1.56,312.16
2019,1,8,19,12.01,95.06,0.27,1.39,314.55
2019,1,8,20,11.78,96.0,0.31,1.34,314.76
2019,1,8,21,11.58,97.44,0.44,1.46,316.08
2019,1,8,22,11.55,97.94,0.59,1.55,317.24
2019,1,8,23,11.51,98.38,0.77,1.66,315.38
2019,1,9,0,11.4,98.88,0.82,1.77,314.64
2019,1,9,1,11.33,99.06,0.71,1.94,317.62
2019,1,9,2,11.19,98.94,0.49,2.07,321.44
2019,1,9,3,11.02,98.62,0.35,2.11,326.78
2019,1,9,4,10.58,98.12,0.3,2.04,328.32
2019,1,9,5,10.12,98.44,0.34,1.72,327.83
2019,1,9,6,10.12,98.25,0.4,1.59,329.04
2019,1,9,7,11.16,94.0,0.02,2.16,327.69
2019,1,9,8,12.5,85.31,0.01,2.43,316.04
2019,1,9,9,14.46,73.25,0.01,2.73,307.56
2019,1,9,10,16.44,62.81,0.01,2.79,307.61
2019,1,9,11,17.75,58.25,0.02,2.85,313.0
2019,1,9,12,18.4,57.0,0.02,3.02,319.09
2019,1,9,13,18.44,57.94,0.03,3.15,324.58
2019,1,9,14,17.83,61.19,0.04,3.25,328.18
2019,1,9,15,16.73,66.62,0.04,3.24,331.83
2019,1,9,16,15.4,73.56,0.05,3.27,333.62
2019,1,9,17,13.9,83.19,0.05,3.02,333.04
2019,1,9,18,12.61,94.5,0.05,2.27,329.64
2019,1,9,19,12.23,97.19,0.05,2.21,326.53
2019,1,9,20,12.0,98.0,0.05,2.33,324.55
2019,1,9,21,11.74,98.0,0.04,2.38,326.36
2019,1,9,22,11.33,97.94,0.03,2.44,328.5
2019,1,9,23,11.12,97.56,0.02,2.59,326.84
2019,1,10,0,10.87,97.44,0.02,2.62,323.13
2019,1,10,1,10.5,97.56,0.01,2.69,321.0
2019,1,10,2,10.21,97.75,0.01,2.65,320.39
2019,1,10,3,9.93,97.06,0.01,2.97,319.06
2019,1,10,4,9.59,97.62,0.01,2.73,316.86
2019,1,10,5,9.33,97.56,0.01,2.54,315.87
2019,1,10,6,9.58,95.69,0.0,2.65,314.76
2019,1,10,7,10.85,88.5,0.06,3.12,313.17
2019,1,10,8,12.98,76.44,0.03,3.28,311.04
2019,1,10,9,15.64,62.5,0.02,3.22,311.46
2019,1,10,10,17.65,55.25,0.02,2.92,316.09
2019,1,10,11,18.76,53.81,0.05,3.05,323.95
2019,1,10,12,19.13,55.62,0.14,3.37,328.56
2019,1,10,13,18.66,59.94,0.27,3.56,330.29
2019,1,10,14,17.79,64.81,0.36,3.64,330.74
2019,1,10,15,16.66,70.44,0.4,3.59,331.37
2019,1,10,16,15.41,76.62,0.38,3.51,331.44
2019,1,10,17,13.94,85.5,0.39,3.16,329.06
2019,1,10,18,12.65,95.5,0.44,2.34,326.15
2019,1,10,19,12.31,97.62,0.41,2.17,325.57
2019,1,10,20,12.15,98.31,0.4,2.23,323.13
2019,1,10,21,11.85,98.81,0.32,2.2,320.77
2019,1,10,22,11.48,98.94,0.22,2.05,317.93
2019,1,10,23,11.23,98.5,0.12,2.19,314.28
2019,1,11,0,10.92,98.44,0.08,2.14,312.03
2019,1,11,1,10.5,98.5,0.06,2.2,309.23
2019,1,11,2,10.07,98.25,0.05,2.25,304.52
2019,1,11,3,9.65,98.31,0.04,2.18,299.87
2019,1,11,4,9.15,98.25,0.03,1.72,294.7
2019,1,11,5,8.55,98.0,0.02,1.13,288.94
2019,1,11,6,8.76,95.94,0.02,0.68,284.04
2019,1,11,7,10.76,88.31,0.0,0.45,291.61
2019,1,11,8,13.6,73.75,0.0,0.51,341.29
2019,1,11,9,15.4,65.19,0.0,0.52,22.29
2019,1,11,10,16.45,61.06,0.0,0.87,24.27
2019,1,11,11,17.26,59.5,0.0,1.38,7.49
2019,1,11,12,17.67,59.12,0.0,1.74,1.28
2019,1,11,13,17.48,60.81,0.01,1.89,2.85
2019,1,11,14,16.95,63.75,0.01,1.85,6.55
2019,1,11,15,16.13,67.81,0.01,1.78,8.31
2019,1,11,16,15.02,74.62,0.01,1.73,5.17
2019,1,11,17,13.77,84.5,0.01,1.45,2.17
2019,1,11,18,12.72,94.31,0.01,0.98,2.75
2019,1,11,19,12.47,96.62,0.01,0.7,22.28
2019,1,11,20,12.37,97.94,0.02,0.59,65.12
2019,1,11,21,12.24,99.06,0.02,0.64,84.43
2019,1,11,22,12.12,99.56,0.02,0.7,94.5
2019,1,11,23,11.94,99.44,0.02,0.68,101.96
2019,1,12,0,11.71,99.5,0.02,0.62,110.73
2019,1,12,1,11.48,99.38,0.02,0.57,122.17
2019,1,12,2,11.26,99.19,0.02,0.52,129.47
2019,1,12,3,11.02,99.19,0.02,0.45,135.0
2019,1,12,4,10.87,98.88,0.01,0.43,139.4
2019,1,12,5,10.76,98.06,0.01,0.49,137.6
2019,1,12,6,10.83,97.25,0.01,0.86,132.06
2019,1,12,7,11.63,94.38,0.13,1.34,129.34
2019,1,12,8,12.75,89.0,0.14,1.34,117.76
2019,1,12,9,13.79,82.81,0.15,1.37,104.19
2019,1,12,10,14.73,78.62,0.17,1.27,99.23
2019,1,12,11,15.44,75.62,0.18,0.99,100.51
2019,1,12,12,15.71,74.81,0.19,0.75,109.57
2019,1,12,13,15.69,75.56,0.2,0.74,120.65
2019,1,12,14,15.43,77.31,0.21,0.91,124.1
2019,1,12,15,14.8,80.5,0.21,1.2,125.97
2019,1,12,16,14.07,84.56,0.21,1.41,123.69
2019,1,12,17,13.08,90.5,0.21,1.44,121.87
2019,1,12,18,12.15,97.06,0.19,1.21,122.87
2019,1,12,19,11.87,97.5,0.16,1.38,120.91
2019,1,12,20,11.55,97.5,0.15,1.27,119.57
2019,1,12,21,11.22,97.69,0.15,1.0,119.58
2019,1,12,22,10.84,97.69,0.15,0.73,128.09
2019,1,12,23,10.56,97.38,0.15,0.61,147.53
2019,1,13,0,10.36,96.69,0.16,0.51,176.48
2019,1,13,1,10.31,95.44,0.18,0.44,203.86
2019,1,13,2,10.34,93.75,0.2,0.4,195.95
2019,1,13,3,10.28,93.0,0.21,0.36,161.18
2019,1,13,4,10.0,93.25,0.2,0.47,131.63
2019,1,13,5,9.84,93.12,0.19,0.66,118.39
2019,1,13,6,10.02,93.0,0.19,0.85,116.1
2019,1,13,7,11.29,91.31,0.22,1.03,110.5
2019,1,13,8,12.62,90.44,0.2,0.81,85.01
2019,1,13,9,13.94,84.31,0.2,0.99,66.27
2019,1,13,10,14.87,79.56,0.23,1.18,47.68
2019,1,13,11,15.42,76.88,0.25,1.38,31.08
2019,1,13,12,15.72,75.75,0.29,1.52,19.46
2019,1,13,13,15.69,75.75,0.34,1.59,13.9
2019,1,13,14,15.4,77.12,0.4,1.54,14.95
2019,1,13,15,14.81,80.19,0.47,1.39,20.67
2019,1,13,16,13.98,85.06,0.51,1.14,27.27
2019,1,13,17,12.99,91.38,0.53,0.74,33.35
2019,1,13,18,12.21,97.25,0.51,0.24,35.75
2019,1,13,19,12.08,98.31,0.48,0.31,116.57
2019,1,13,20,11.93,99.12,0.45,0.52,128.93
2019,1,13,21,11.73,99.62,0.45,0.66,133.56
2019,1,13,22,11.54,99.62,0.41,0.73,140.19
2019,1,13,23,11.4,99.31,0.31,0.79,143.81
2019,1,14,0,11.24,99.0,0.23,0.85,143.24
2019,1,14,1,11.04,98.69,0.16,0.88,140.39
2019,1,14,2,10.82,98.5,0.1,0.9,137.12
2019,1,14,3,10.62,98.44,0.06,0.87,135.73
2019,1,14,4,10.42,98.5,0.03,0.82,136.92
2019,1,14,5,10.23,98.44,0.01,0.91,140.95
2019,1,14,6,10.52,98.5,0.01,1.12,137.83
2019,1,14,7,12.04,94.62,0.04,2.19,121.59
2019,1,14,8,13.56,89.38,0.08,3.26,106.44
2019,1,14,9,15.41,80.19,0.13,4.66,100.05
2019,1,14,10,16.89,71.38,0.17,5.02,98.77
2019,1,14,11,17.85,67.62,0.2,4.84,99.01
2019,1,14,12,17.96,66.94,0.23,4.37,99.46
2019,1,14,13,17.56,68.75,0.25,3.76,99.68
2019,1,14,14,16.55,72.56,0.27,3.29,99.84
2019,1,14,15,15.71,76.38,0.27,3.01,100.76
2019,1,14,16,14.8,80.88,0.26,2.67,99.96
2019,1,14,17,13.51,88.31,0.25,2.03,100.19
2019,1,14,18,12.3,96.06,0.21,1.36,108.02
2019,1,14,19,11.8,98.44,0.19,1.28,116.41
2019,1,14,20,11.33,98.69,0.15,1.2,121.93
2019,1,14,21,10.86,98.44,0.11,1.14,130.26
2019,1,14,22,10.47,97.94,0.08,1.13,142.02
2019,1,14,23,10.12,97.38,0.06,1.17,149.5
2019,1,15,0,9.8,96.94,0.05,1.26,149.77
2019,1,15,1,9.55,96.75,0.04,1.35,147.5
2019,1,15,2,9.31,96.38,0.04,1.47,148.25
2019,1,15,3,9.08,95.81,0.03,1.62,147.99
2019,1,15,4,8.88,95.06,0.03,1.74,144.31
2019,1,15,5,8.74,94.19,0.03,1.8,140.45
2019,1,15,6,9.33,93.75,0.02,1.95,138.25
2019,1,15,7,11.9,87.88,0.03,2.99,132.14
2019,1,15,8,13.51,78.62,0.05,3.83,124.53
2019,1,15,9,15.16,69.31,0.08,4.44,119.27
2019,1,15,10,16.5,63.38,0.11,4.92,115.39
2019,1,15,11,17.2,60.94,0.14,5.15,112.75
2019,1,15,12,17.4,60.69,0.16,4.97,111.85
2019,1,15,13,17.51,60.94,0.17,4.5,112.69
2019,1,15,14,17.01,63.12,0.17,4.03,112.44
2019,1,15,15,16.46,66.06,0.16,3.52,109.72
2019,1,15,16,15.65,70.56,0.15,2.87,107.89
2019,1,15,17,14.26,80.19,0.12,2.15,111.53
2019,1,15,18,12.42,91.38,0.09,1.1,114.75
2019,1,15,19,11.65,94.44,0.08,1.05,122.5
2019,1,15,20,11.08,95.62,0.04,1.14,128.05
2019,1,15,21,10.59,95.88,0.03,1.2,134.74
2019,1,15,22,10.21,95.12,0.03,1.29,142.37
2019,1,15,23,10.01,94.12,0.03,1.41,147.46
2019,1,16,0,9.73,94.12,0.03,1.44,152.6
2019,1,16,1,9.44,94.12,0.03,1.4,156.72
2019,1,16,2,9.17,93.75,0.03,1.41,157.55
2019,1,16,3,8.93,93.25,0.03,1.49,153.17
2019,1,16,4,8.83,92.31,0.04,1.53,144.77
2019,1,16,5,8.75,91.56,0.06,1.55,136.23
2019,1,16,6,9.39,91.56,0.09,1.54,131.51
2019,1,16,7,12.23,86.25,0.01,2.22,120.62
2019,1,16,8,14.29,77.69,0.02,2.93,105.48
2019,1,16,9,16.24,69.19,0.02,3.36,98.96
2019,1,16,10,17.58,64.56,0.03,3.62,96.07
2019,1,16,11,18.4,62.5,0.03,3.74,94.79
2019,1,16,12,18.55,63.25,0.04,3.63,93.58
2019,1,16,13,18.34,65.25,0.04,3.47,94.52
2019,1,16,14,17.95,67.38,0.05,3.36,96.68
2019,1,16,15,17.21,70.88,0.05,3.3,99.95
2019,1,16,16,16.08,76.25,0.04,3.14,103.1
2019,1,16,17,14.73,84.88,0.03,2.77,107.87
2019,1,16,18,13.28,94.81,0.03,2.13,114.97
2019,1,16,19,12.76,96.19,0.03,2.44,121.4
2019,1,16,20,12.28,97.12,0.02,2.84,125.48
2019,1,16,21,11.76,97.56,0.02,2.87,130.25
2019,1,16,22,11.3,97.88,0.02,3.1,134.29
2019,1,16,23,10.85,98.12,0.02,3.14,135.3
2019,1,17,0,10.55,97.75,0.02,3.02,136.68
2019,1,17,1,10.36,97.25,0.01,2.76,137.52
2019,1,17,2,10.14,96.94,0.01,2.56,137.6
2019,1,17,3,9.94,96.5,0.01,2.42,136.31
2019,1,17,4,9.82,95.69,0.01,2.27,135.7
2019,1,17,5,9.73,94.88,0.01,2.2,136.73
2019,1,17,6,10.17,94.12,0.01,2.49,138.31
2019,1,17,7,12.31,87.62,0.03,3.16,133.5
2019,1,17,8,13.97,81.44,0.03,3.7,124.16
2019,1,17,9,15.22,76.94,0.06,4.16,117.86
2019,1,17,10,15.93,75.31,0.09,4.68,112.97
2019,1,17,11,16.68,73.25,0.12,5.13,110.12
2019,1,17,12,17.31,71.06,0.15,5.38,108.72
2019,1,17,13,17.78,69.25,0.15,5.38,108.28
2019,1,17,14,18.01,68.25,0.14,5.18,107.56
2019,1,17,15,17.49,70.25,0.14,4.75,107.3
2019,1,17,16,16.35,76.25,0.13,4.17,108.67
2019,1,17,17,14.76,86.81,0.12,3.18,112.72
2019,1,17,18,13.38,95.56,0.12,2.14,117.69
2019,1,17,19,12.99,96.5,0.1,2.28,124.94
2019,1,17,20,12.65,97.0,0.08,2.43,130.82
2019,1,17,21,12.32,97.38,0.06,2.53,135.25
2019,1,17,22,11.94,97.81,0.05,2.67,139.51
2019,1,17,23,11.57,98.06,0.05,2.92,141.96
2019,1,18,0,11.23,98.06,0.04,2.84,142.5
2019,1,18,1,10.93,97.94,0.03,2.74,142.64
2019,1,18,2,10.69,97.81,0.03,2.87,140.19
2019,1,18,3,10.48,97.5,0.04,2.74,139.17
2019,1,18,4,10.37,97.0,0.04,2.55,138.35
2019,1,18,5,10.16,97.12,0.06,2.47,136.8
2019,1,18,6,10.69,96.81,0.09,2.91,133.91
2019,1,18,7,12.96,90.94,0.01,4.2,128.96
2019,1,18,8,14.89,81.56,0.02,5.54,122.03
2019,1,18,9,16.9,69.62,0.02,6.11,114.73
2019,1,18,10,18.18,63.38,0.03,6.2,111.27
2019,1,18,11,18.8,61.0,0.04,5.99,109.33
2019,1,18,12,19.11,60.31,0.05,5.71,108.41
2019,1,18,13,18.99,60.69,0.05,5.25,109.73
2019,1,18,14,18.51,62.56,0.06,4.75,112.34
2019,1,18,15,17.73,65.62,0.07,4.44,114.76
2019,1,18,16,16.57,70.69,0.06,4.06,118.09
2019,1,18,17,14.94,81.06,0.05,3.44,123.69
2019,1,18,18,13.4,91.38,0.04,2.54,130.01
2019,1,18,19,12.87,93.75,0.04,2.57,132.66
2019,1,18,20,12.48,94.69,0.03,2.7,130.31
2019,1,18,21,11.97,95.44,0.03,2.68,137.01
2019,1,18,22,11.48,96.25,0.03,2.66,144.21
2019,1,18,23,11.12,96.5,0.03,2.56,144.56
2019,1,19,0,10.83,96.5,0.03,2.66,140.47
2019,1,19,1,10.56,96.75,0.02,2.81,141.54
2019,1,19,2,10.37,96.5,0.02,2.7,147.87
2019,1,19,3,10.27,95.88,0.02,2.3,153.17
2019,1,19,4,9.94,96.5,0.02,2.01,152.14
2019,1,19,5,9.63,97.06,0.02,2.26,148.56
2019,1,19,6,10.16,96.12,0.02,2.66,148.32
2019,1,19,7,12.64,88.75,0.01,3.61,141.07
2019,1,19,8,14.59,78.94,0.01,4.26,130.61
2019,1,19,9,16.54,69.0,0.02,4.59,120.01
2019,1,19,10,17.93,63.44,0.03,4.91,114.04
2019,1,19,11,18.6,61.75,0.03,5.16,112.99
2019,1,19,12,18.9,61.25,0.04,5.05,113.71
2019,1,19,13,19.03,60.69,0.05,4.82,115.44
2019,1,19,14,18.77,61.62,0.06,4.48,118.8
2019,1,19,15,18.21,63.69,0.07,4.19,121.82
2019,1,19,16,16.93,69.31,0.08,4.01,124.84
2019,1,19,17,15.16,79.0,0.07,3.65,128.32
2019,1,19,18,13.5,91.19,0.07,2.78,128.16
2019,1,19,19,12.84,94.38,0.06,2.87,129.59
2019,1,19,20,12.44,95.25,0.05,2.85,129.1
2019,1,19,21,12.05,95.62,0.05,2.66,128.92
2019,1,19,22,11.59,96.19,0.04,2.45,131.0
2019,1,19,23,11.2,96.75,0.04,2.19,135.72
2019,1,20,0,10.85,97.19,0.03,2.04,141.2
2019,1,20,1,10.58,97.38,0.02,2.09,147.86
2019,1,20,2,10.37,97.38,0.02,2.13,153.25
2019,1,20,3,10.3,96.94,0.02,2.05,153.73
2019,1,20,4,10.28,96.81,0.02,1.88,150.34
2019,1,20,5,10.27,97.0,0.03,1.92,147.15
2019,1,20,6,10.69,96.44,0.05,2.38,142.6
2019,1,20,7,12.18,91.69,0.13,3.33,136.52
2019,1,20,8,13.65,84.62,0.12,4.46,135.57
2019,1,20,9,15.18,76.69,0.1,5.4,135.35
2019,1,20,10,16.4,71.06,0.11,6.04,132.48
2019,1,20,11,17.08,67.56,0.15,6.12,128.99
2019,1,20,12,17.4,66.0,0.21,5.81,126.85
2019,1,20,13,17.49,65.25,0.26,5.33,126.42
2019,1,20,14,17.24,66.06,0.27,4.75,127.38
2019,1,20,15,16.74,68.12,0.26,4.2,129.19
2019,1,20,16,15.81,72.5,0.23,3.62,130.19
2019,1,20,17,14.47,80.56,0.16,2.69,129.7
